top - 12:06:49 up 23 min,  1 user,  load average: 0.06, 0.38, 0.36
Tasks: 308 total,   1 running, 307 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  7.7 sy,  0.0 ni, 88.5 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    320.6 free,   2167.1 used,   1540.5 buff/cache     
MiB Swap:   3730.0 total,   3728.8 free,      1.2 used.   1700.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    273 root      20   0       0      0      0 I   0.0   0.0   0:00.58 kworker+
    278 root      20   0       0      0      0 I   0.0   0.0   0:00.62 kworker+
    326 root      20   0       0      0      0 S   0.0   0.0   0:00.77 jbd2/sd+
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    375 root      19  -1   83708  18236  16700 S   0.0   0.5   0:00.46 systemd+
    446 root      20   0   32312  10256   4880 S   0.0   0.3   0:00.35 systemd+
    488 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    549 systemd+  20   0   17560   7608   6712 S   0.0   0.2   0:00.33 systemd+
    554 systemd+  20   0   21976  13316  10756 S   0.0   0.3   0:00.39 systemd+
    557 systemd+  20   0   91048   7752   6856 S   0.0   0.2   0:00.05 systemd+
    670 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    671 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    672 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    703 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    705 root     -51   0       0      0      0 S   0.0   0.0   0:00.68 irq/16-+
    714 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    725 avahi     20   0    8672   4472   4088 S   0.0   0.1   0:00.07 avahi-d+
    726 message+  20   0   12196   7300   4612 S   0.0   0.2   0:01.22 dbus-da+
    736 gnome-r+  20   0  439076  16240  13936 S   0.0   0.4   0:00.06 gnome-r+
    755 polkitd   20   0  390772  12056   8156 S   0.0   0.3   0:00.36 polkitd
    769 root      20   0  313376   7228   6844 S   0.0   0.2   0:00.02 power-p+
    816 root      20   0  313292   7556   6788 S   0.0   0.2   0:00.11 account+
    826 root      20   0    9424   2720   2592 S   0.0   0.1   0:00.02 cron
    836 root      20   0  309912   6972   6332 S   0.0   0.2   0:00.08 switche+
    847 root      20   0   18252   8812   7788 S   0.0   0.2   0:00.33 systemd+
    855 root      20   0  543204  14356  11540 S   0.0   0.4   0:00.16 udisksd
    885 syslog    20   0  222564   6312   4520 S   0.0   0.2   0:00.10 rsyslogd
    902 avahi     20   0    8480   1436   1164 S   0.0   0.0   0:00.00 avahi-d+
    904 root      20   0  336364  18828  16140 S   0.0   0.5   0:00.27 Network+
    905 root      20   0   17380   6200   5432 S   0.0   0.2   0:00.03 wpa_sup+
    930 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    975 root      20   0  392092  12684  10636 S   0.0   0.3   0:00.10 ModemMa+
   1214 root      20   0   38216  11896   9848 S   0.0   0.3   0:00.02 cupsd
   1224 root      20   0  112256  22864  13520 S   0.0   0.6   0:00.06 unatten+
   1259 root      20   0  314824   9148   8124 S   0.0   0.2   0:00.04 gdm3
   1273 cups-br+  20   0  268352  19724  16908 S   0.0   0.5   0:00.05 cups-br+
   1278 kernoops  20   0   12744   2280   1876 S   0.0   0.1   0:00.00 kernelo+
   1289 kernoops  20   0   12744   2340   1948 S   0.0   0.1   0:00.00 kernelo+
   1356 rtkit     21   1   22940   3368   3112 S   0.0   0.1   0:00.05 rtkit-d+
   1460 colord    20   0  320060  14516   9908 S   0.0   0.4   0:00.10 colord
   1505 root      20   0  316564   9072   7536 S   0.0   0.2   0:00.05 upowerd
   1850 root      20   0  242584  10276   8916 S   0.0   0.3   0:00.03 gdm-ses+
   1871 sysadmin  20   0   21644  12896   9640 S   0.0   0.3   0:01.74 systemd
   1872 root      20   0       0      0      0 I   0.0   0.0   0:02.05 kworker+
   1876 sysadmin  20   0   21464   3680   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1887 sysadmin   9 -11  116120  15036   8656 S   0.0   0.4   0:07.66 pipewire
   1898 sysadmin  20   0   97736   5856   5088 S   0.0   0.1   0:00.00 pipewire
   1901 sysadmin   9 -11  406796  17424  12560 S   0.0   0.4   0:00.30 wireplu+
   1903 sysadmin   9 -11  116496  13972   9500 S   0.0   0.4   0:00.25 pipewir+
   1904 sysadmin  20   0  316508   9916   9020 S   0.0   0.3   0:00.04 gnome-k+
   1914 sysadmin  20   0   10804   6420   4628 S   0.0   0.2   0:00.36 dbus-da+
   1945 sysadmin  20   0  684024   7600   6832 S   0.0   0.2   0:00.02 xdg-doc+
   1952 sysadmin  20   0  309308   6140   5756 S   0.0   0.2   0:00.00 xdg-per+
   1959 root      20   0    2704   1808   1808 S   0.0   0.0   0:00.00 fusermo+
   1981 sysadmin  20   0  235668   6004   5620 S   0.0   0.2   0:00.00 gdm-way+
   1985 sysadmin  20   0  298236  15652  13860 S   0.0   0.4   0:00.01 gnome-s+
   2046 sysadmin  20   0  162652   6792   6152 S   0.0   0.2   0:00.00 gcr-ssh+
   2047 sysadmin  20   0   91548   5548   5164 S   0.0   0.1   0:00.00 gnome-s+
   2056 sysadmin  20   0  314276   7848   7080 S   0.0   0.2   0:00.02 gvfsd
   2079 sysadmin  20   0  459708   7052   6284 S   0.0   0.2   0:00.00 gvfsd-f+
   2101 sysadmin  20   0  667944  17420  14860 S   0.0   0.4   0:00.07 gnome-s+
   2144 sysadmin  20   0 3916540 296888 133816 S   0.0   7.5   0:55.39 gnome-s+
   2150 sysadmin  20   0  382932   7916   7148 S   0.0   0.2   0:00.00 at-spi-+
   2164 sysadmin  20   0    9480   5092   4708 S   0.0   0.1   0:00.00 dbus-da+
   2280 sysadmin  20   0  236068   7292   6652 S   0.0   0.2   0:00.00 at-spi2+
   2289 sysadmin  20   0  655924  21852  18152 S   0.0   0.6   0:00.04 gnome-s+
   2315 sysadmin  20   0  592824  41088  32896 S   0.0   1.0   0:00.12 evoluti+
   2316 sysadmin  20   0  230108   5736   5352 S   0.0   0.1   0:00.02 dconf-s+
   2327 sysadmin  20   0 2662612  26636  21888 S   0.0   0.7   0:00.06 gjs
   2341 sysadmin  20   0  388852  12220   7016 S   0.0   0.3   0:07.09 ibus-da+
   2344 sysadmin  20   0  383516   6592   6080 S   0.0   0.2   0:00.00 gsd-a11+
   2347 sysadmin  20   0  413004  18324  15380 S   0.0   0.5   0:00.08 gsd-col+
   2348 sysadmin  20   0  431668  11996  10716 S   0.0   0.3   0:00.01 gsd-dat+
   2349 sysadmin  20   0  458860   7660   7020 S   0.0   0.2   0:00.04 gsd-hou+
   2350 sysadmin  20   0  484948  17652  14964 S   0.0   0.4   0:00.06 gsd-key+
   2351 sysadmin  20   0  520352  23124  19540 S   0.0   0.6   0:00.11 gsd-med+
   2352 sysadmin  20   0  597232  22280  18440 S   0.0   0.6   0:00.08 gsd-pow+
   2353 sysadmin  20   0  323628  11420  10012 S   0.0   0.3   0:00.00 gsd-pri+
   2354 sysadmin  20   0  531084   6588   6076 S   0.0   0.2   0:00.02 gsd-rfk+
   2355 sysadmin  20   0  309560   6256   5744 S   0.0   0.2   0:00.01 gsd-scr+
   2358 sysadmin  20   0  543184  11540  10004 S   0.0   0.3   0:00.01 gsd-sha+
   2360 sysadmin  20   0  385816   8196   7300 S   0.0   0.2   0:00.01 gsd-sma+
   2362 sysadmin  20   0  393632   9368   8216 S   0.0   0.2   0:00.01 gsd-sou+
   2364 sysadmin  20   0  412192  18320  15120 S   0.0   0.5   0:00.06 gsd-wac+
   2381 sysadmin  20   0  823668  61400  47704 S   0.0   1.6   0:00.18 evoluti+
   2384 sysadmin  20   0  305624   7320   6168 S   0.0   0.2   0:00.01 gsd-dis+
   2451 sysadmin  20   0  546656  23540  19956 S   0.0   0.6   0:00.02 goa-dae+
   2525 sysadmin  20   0  416236  14264  12344 S   0.0   0.4   0:00.01 gsd-pri+
   2526 sysadmin  20   0  610508  11008   9216 S   0.0   0.3   0:00.12 gvfs-ud+
   2549 sysadmin  20   0  389124   9284   8260 S   0.0   0.2   0:00.02 goa-ide+
   2551 sysadmin  20   0  890732  24436  21108 S   0.0   0.6   0:00.06 evoluti+
   2578 sysadmin  20   0  309772   6624   6112 S   0.0   0.2   0:00.01 gvfs-go+
   2579 sysadmin  20   0  899172  30052  26084 S   0.0   0.8   0:00.06 evoluti+
   2580 sysadmin  20   0  236340   6340   5956 S   0.0   0.2   0:00.01 gvfsd-m+
   2593 sysadmin  20   0  389376   8084   7060 S   0.0   0.2   0:00.12 gvfs-af+
   2607 sysadmin  20   0  310760   6816   6176 S   0.0   0.2   0:00.01 gvfs-gp+
   2619 sysadmin  20   0  236644   7044   6532 S   0.0   0.2   0:00.00 ibus-me+
   2620 sysadmin  20   0  420956  27904  16668 S   0.0   0.7   0:01.94 ibus-ex+
   2622 sysadmin  20   0  310424   6980   6468 S   0.0   0.2   0:00.01 ibus-po+
   2630 sysadmin  20   0  309792   6508   5996 S   0.0   0.2   0:00.00 gvfs-mt+
   2688 sysadmin  20   0  236768   7324   6684 S   0.0   0.2   0:02.71 ibus-en+
   2707 sysadmin  20   0 2766944 197480 111848 S   0.0   5.0   0:00.98 gnome-i+
   2715 sysadmin  39  19  735264  27740  18452 S   0.0   0.7   0:00.32 tracker+
   2733 sysadmin  20   0  535708   8820   7668 S   0.0   0.2   0:00.02 gvfsd-t+
   2745 sysadmin  20   0   39136   8116   6708 S   0.0   0.2   0:00.08 snapd-d+
   2749 sysadmin  20   0 2662612  26724  21896 S   0.0   0.7   0:00.04 gjs
   2941 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2944 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2981 sysadmin  20   0 3145716  61484  45604 S   0.0   1.6   0:00.64 gjs
   2983 sysadmin  20   0  429620  23724  15128 S   0.0   0.6   0:00.20 snapd-d+
   2991 root      20   0  313364   7612   6972 S   0.0   0.2   0:00.02 ubuntu-+
   3014 sysadmin  20   0  832672  14476  11664 S   0.0   0.4   0:00.11 xdg-des+
   3021 sysadmin  20   0  556308  38596  28644 S   0.0   1.0   0:00.13 xdg-des+
   3035 sysadmin  20   0  417204  24388  17732 S   0.0   0.6   0:00.08 xdg-des+
   3076 sysadmin  20   0  554444  52352  40836 S   0.0   1.3   0:07.71 gnome-t+
   3083 sysadmin  20   0   11396   5496   3832 S   0.0   0.1   0:00.38 bash
   3142 sysadmin  20   0  494436  30472  23048 S   0.0   0.8   0:00.15 update-+
   3511 root      20   0 1923368  42452  25564 S   0.0   1.1   0:03.27 snapd
   4234 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   4560 root      20   0       0      0      0 I   0.0   0.0   0:00.52 kworker+
   4571 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
   4572 sysadmin  20   0   11.4g 598272 253792 S   0.0  15.1   1:07.98 firefox
   4724 sysadmin  20   0   21284   4464   4080 S   0.0   0.1   0:00.01 crashhe+
   4796 sysadmin  20   0  228588  47936  38464 S   0.0   1.2   0:00.06 Socket +
   4820 sysadmin  20   0  295816  32688  24112 S   0.0   0.8   0:00.08 forkser+
   4845 sysadmin  20   0 2453684  91672  67316 S   0.0   2.3   0:00.62 WebExte+
   4854 sysadmin  20   0  476096  75496  63440 S   0.0   1.9   0:00.34 RDD Pro+
   4884 sysadmin  20   0 2551252 170220  90988 S   0.0   4.3   0:09.56 Privile+
   4911 sysadmin  20   0 1692084  24720  16324 S   0.0   0.6   0:00.07 snap
   5059 sysadmin  20   0 2467184 107284  79096 S   0.0   2.7   0:00.85 Isolate+
   5395 sysadmin  20   0  443236  50108  38316 S   0.0   1.3   0:00.04 Utility+
   5402 sysadmin  20   0 2665636 244584  99264 S   0.0   6.2   0:12.51 Isolate+
   5619 sysadmin  20   0 3075000 456448 121076 S   0.0  11.5   0:13.90 Isolate+
   5714 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker+
   5781 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5791 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5832 sysadmin  20   0 2429088  85076  69308 S   0.0   2.1   0:00.48 Isolate+
   5865 sysadmin  20   0 2452652  86752  67536 S   0.0   2.2   0:00.41 Isolate+
   6027 root      20   0  467640  29328  23128 S   0.0   0.7   0:00.16 fwupd
   6044 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
   6056 sysadmin  20   0 2428756  77384  61616 S   0.0   2.0   0:00.46 Isolate+
   6063 sysadmin  20   0 2417684  68040  53552 S   0.0   1.7   0:00.04 Web Con+
   6102 sysadmin  20   0 2417684  67924  53436 S   0.0   1.7   0:00.04 Web Con+
   6107 sysadmin  20   0 2417684  68116  53500 S   0.0   1.7   0:00.05 Web Con+
   7090 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7091 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7094 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
